Experiment,System,Region,SubjectID,Condition,Hemisphere,Effect_Size,Modality,Task
Experiment1,MD,LH_postParietal,600_FED_20170428b_3T2,S,L,-0.678689,visual,passive
Experiment1,MD,LH_postParietal,602_FED_20170526b_3T2,S,L,0.050838,visual,passive
Experiment1,MD,LH_postParietal,603_FED_20170502a_3T2,S,L,-1.224713,visual,passive
Experiment1,MD,LH_postParietal,607_FED_20170517a_3T2,S,L,-0.425884,visual,passive
Experiment1,MD,LH_postParietal,608_FED_20170518a_3T2,S,L,-0.426997,visual,passive
Experiment1,MD,LH_postParietal,609_FED_20170523c_3T2,S,L,-0.252745,visual,passive
Experiment1,MD,LH_postParietal,610_FED_20170523a_3T2,S,L,-0.067228,visual,passive
Experiment1,MD,LH_postParietal,613_FED_20170526a_3T2,S,L,0.227301,visual,passive
Experiment1,MD,LH_postParietal,614_FED_20170525a_3T2,S,L,-0.289197,visual,passive
Experiment1,MD,LH_postParietal,624_FED_20170619b_3T2,S,L,-0.408295,visual,passive
Experiment1,MD,LH_postParietal,625_FED_20170619a_3T2,S,L,0.385556,visual,passive
Experiment1,MD,LH_postParietal,627_FED_20170620a_3T2,S,L,0.153241,visual,passive
Experiment1,MD,LH_postParietal,629_FED_20170620c_3T2,S,L,1.541009,visual,passive
Experiment1,MD,LH_postParietal,630_FED_20170621c_3T2,S,L,-0.488267,visual,passive
Experiment1,MD,LH_postParietal,632_FED_20170623a_3T2,S,L,-0.691277,visual,passive
Experiment1,MD,LH_postParietal,633_FED_20170626a_3T2,S,L,-0.399865,visual,passive
Experiment1,MD,LH_postParietal,636_FED_20170628b_3T2,S,L,0.026761,visual,passive
Experiment1,MD,LH_postParietal,637_FED_20170628c_3T2,S,L,0.018247,visual,passive
Experiment1,MD,LH_postParietal,640_FED_20170629c_3T2,S,L,0.190018,visual,passive
Experiment1,MD,LH_postParietal,641_FED_20170629b_3T2,S,L,0.279995,visual,passive
Experiment1,MD,LH_postParietal,642_FED_20170629a_3T2,S,L,-0.825359,visual,passive
Experiment1,MD,LH_postParietal,643_FED_20170630c_3T2,S,L,0.620946,visual,passive
Experiment1,MD,LH_postParietal,645_FED_20170630e_3T2,S,L,0.347898,visual,passive
Experiment1,MD,LH_postParietal,655_FED_20170724a_3T2,S,L,0.266493,visual,passive
Experiment1,MD,LH_postParietal,658_FED_20170725d_3T2,S,L,-0.085216,visual,passive
Experiment1,MD,LH_postParietal,018_KAN_RHnonlit_09,S,L,-0.107086,visual,passive
Experiment1,MD,LH_postParietal,036_KAN_EvDB_20150501b,S,L,-0.446943,visual,passive
Experiment1,MD,LH_postParietal,049_KAN_RHnonlit_10,S,L,-1.120013,visual,passive
Experiment1,MD,LH_postParietal,050_KAN_evDB_20131218b,S,L,-0.578022,visual,passive
Experiment1,MD,LH_postParietal,090_KAN_polyglot_01,S,L,-0.04938,visual,passive
Experiment1,MD,LH_postParietal,097_KAN_RHnonlit_05,S,L,1.480896,visual,passive
Experiment1,MD,LH_postParietal,113_KAN_prodsemphon_05,S,L,-0.200249,visual,passive
Experiment1,MD,LH_postParietal,117_KAN_EvDB_20150217c,S,L,-0.421057,visual,passive
Experiment1,MD,LH_postParietal,127_KAN_EvDB_20150217a,S,L,-0.20934,visual,passive
Experiment1,MD,LH_postParietal,135_KAN_RHnonlit_06,S,L,0.43708,visual,passive
Experiment1,MD,LH_postParietal,136_KAN_RHnonlit_03,S,L,0.214995,visual,passive
Experiment1,MD,LH_postParietal,138_KAN_RHnonlit_02,S,L,0.101594,visual,passive
Experiment1,MD,LH_postParietal,143_KAN_evDB_20140121b,S,L,-0.015367,visual,passive
Experiment1,MD,LH_postParietal,149_KAN_EvDB_20150501a,S,L,1.018436,visual,passive
Experiment1,MD,LH_postParietal,152_KAN_RHnonlit_01,S,L,-0.358723,visual,passive
Experiment1,MD,LH_postParietal,159_KAN_prodsemphon_01,S,L,-0.016821,visual,passive
Experiment1,MD,LH_postParietal,163_KAN_evDB_20141110b,S,L,-0.114493,visual,passive
Experiment1,MD,LH_postParietal,168_KAN_evDB_20141020b,S,L,0.337489,visual,passive
Experiment1,MD,LH_postParietal,172_KAN_prodsemphon_02,S,L,-0.142038,visual,passive
Experiment1,MD,LH_postParietal,181_KAN_polyglot_02,S,L,0.252553,visual,passive
Experiment1,MD,LH_postParietal,182_KAN_polyglot_03,S,L,1.460703,visual,passive
Experiment1,MD,LH_postParietal,183_KAN_polyglot_04,S,L,-0.026033,visual,passive
Experiment1,MD,LH_postParietal,183_KAN_polyglot_04a,S,L,-0.191441,visual,passive
Experiment1,MD,LH_postParietal,185_KAN_langsens_01,S,L,0.644017,visual,passive
Experiment1,MD,LH_postParietal,187_KAN_SpLoc_01,S,L,-0.798307,visual,passive
Experiment1,MD,LH_postParietal,188_KAN_SpLoc_02,S,L,0.654235,visual,passive
Experiment1,MD,LH_postParietal,189_KAN_langsens_04,S,L,0.041732,visual,passive
Experiment1,MD,LH_postParietal,191_KAN_prodsemphon_03,S,L,-1.310846,visual,passive
Experiment1,MD,LH_postParietal,192_KAN_prodsemphon_04,S,L,-0.206831,visual,passive
Experiment1,MD,LH_postParietal,194_KAN_RHnonlit_04,S,L,-0.583569,visual,passive
